date,Closed PnL,Trade_Count,Avg_Trade_Size,LS_Ratio,value,classification
2024-06-16,0.0,11,2294.0981818181817,0.0,71,Greed
2024-06-17,10599.502375,38,9694.213684210526,0.5833333333333334,71,Greed
2024-06-18,282.57636,25,10532.5916,25.0,74,Greed
2024-06-19,4887.656944,61,6837.231475409836,1.2592592592592593,64,Greed
2024-06-20,57478.456026,39,5333.097435897435,0.0,60,Greed
2024-06-21,773.5582039999999,80,2203.306125,4.333333333333333,63,Greed
2024-06-22,756.876565,24,7066.427916666667,1.0,53,Neutral
2024-06-23,0.0,5,358.424,0.0,55,Greed
2024-06-24,0.0,31,13000.090322580645,4.166666666666667,51,Neutral
2024-06-25,4869.353105,49,2104.062857142857,0.0,30,Fear
2024-06-26,4197.732182,72,5072.092500000001,6.2,46,Neutral
2024-06-27,0.0,30,4349.565,0.6666666666666666,40,Fear
2024-06-29,6150.326145,75,3734.6014666666665,0.20967741935483872,30,Fear
2024-06-30,0.0,14,2180.049285714286,0.5555555555555556,47,Neutral
2024-07-01,5065.839308,64,5666.721093749999,0.6842105263157895,53,Neutral
2024-07-02,2421.253116,18,1852.6372222222224,0.38461538461538464,51,Neutral
2024-07-03,1118.387284,18,9977.814444444444,3.5,50,Neutral
2024-07-04,0.0,25,17222.720400000002,25.0,44,Fear
2024-07-05,0.0,32,8509.0590625,32.0,29,Fear
2024-07-06,108.87217799999999,24,103.75708333333334,2.4285714285714284,26,Fear
2024-07-07,61.428942,10,49.875,0.0,29,Fear
2024-07-08,0.0,1,497.64,1.0,28,Fear
2024-07-09,648.984412,15,182.42999999999998,0.0,27,Fear
2024-07-10,11977.734907,56,12283.93232142857,3.3076923076923075,28,Fear
2024-07-11,1876.812082,19,8941.422105263156,19.0,29,Fear
2024-07-12,1412.314654,19,4714.893157894737,1.1111111111111112,25,Fear
2024-07-13,2913.617837,17,8187.599411764706,3.25,25,Fear
2024-07-14,0.0,7,12000.16142857143,0.0,33,Fear
2024-07-15,-1.0,26,7628.6480769230775,0.0,52,Neutral
2024-07-16,0.0,22,6545.480454545454,0.0,65,Greed
2024-07-17,1859.269477,351,1783.4915384615385,0.0,69,Greed
2024-07-18,3803.884311,60,10828.414166666666,0.25,61,Greed
2024-07-19,2155.891114,23,6533.453043478262,1.3,60,Greed
2024-07-20,2299.169566,266,918.65492481203,0.019157088122605363,74,Greed
2024-07-21,-2960.716887,448,523.0077232142856,0.006741573033707865,74,Greed
2024-07-22,1517.119876,154,1975.4142857142856,0.1,70,Greed
2024-07-23,89890.302206,370,968.9906486486486,1.6618705035971224,71,Greed
2024-07-24,625.561479,90,768.977,0.6666666666666666,69,Greed
2024-07-25,916.7382600000001,78,6776.350128205129,6.090909090909091,68,Greed
2024-07-26,2766.513113,152,3609.1292763157894,0.35714285714285715,68,Greed
2024-07-27,6400.623656,57,15880.697368421053,8.5,72,Greed
2024-07-28,587.29903,16,2703.4175,0.23076923076923078,71,Greed
2024-07-29,330.80445399999996,39,8389.72153846154,2.5454545454545454,74,Greed
2024-07-30,0.0,6,6001.078333333334,6.0,67,Greed
2024-07-31,765.690884,43,1965.2683720930231,0.075,61,Greed
2024-08-01,167.080017,57,3996.044385964912,10.4,52,Neutral
2024-08-02,782.3681909999999,63,6290.799523809524,14.75,57,Greed
2024-08-03,464.1897,37,7852.239459459459,17.5,37,Fear
2024-08-04,-122672.000883,127,9509.795826771655,62.5,34,Fear
2024-08-05,-13013.665169,80,5256.1925,1.8571428571428572,26,Fear
2024-08-06,267.318048,107,574.5642990654205,2.4516129032258065,17,Extreme Fear
2024-08-07,188.789255,33,75.53848484848484,0.5714285714285714,29,Fear
2024-08-08,-40.712216999999995,9,1811.038888888889,1.25,20,Extreme Fear
2024-08-09,18082.071276,144,3494.4781944444444,0.7560975609756098,48,Neutral
2024-08-10,0.0,88,128.8555681818182,87.0,40,Fear
2024-08-11,847.7766200000001,24,1842.9254166666667,5.0,39,Fear
2024-08-12,858.6705000000001,48,1128.4858333333334,2.2,25,Fear
2024-08-13,212.08102,23,904.2552173913043,1.0909090909090908,31,Fear
2024-08-14,2168.9015130000003,25,2668.4012,24.0,30,Fear
2024-08-15,0.0,12,126.86416666666668,12.0,29,Fear
2024-08-16,825.230544,35,4753.795428571429,35.0,27,Fear
2024-08-17,-288.283113,30,1008.2986666666667,29.0,25,Fear
2024-08-18,307.201888,15,4186.965333333334,4.0,31,Fear
2024-08-19,339.69958299999996,8,12539.37875,8.0,28,Fear
2024-08-20,192.602844,12,4159.566666666667,0.5,30,Fear
2024-08-21,656.200925,145,724.0717931034483,0.013986013986013986,26,Fear
2024-08-23,1005.30527,10,6350.956,0.42857142857142855,34,Fear
2024-08-24,0.0,7,4999.952857142857,0.0,56,Greed
2024-08-25,0.0,17,1291.1929411764704,0.8888888888888888,54,Neutral
2024-08-26,231.236918,6,15435.211666666668,2.0,55,Greed
2024-08-27,0.0,50,1405.0032,49.0,48,Neutral
2024-08-28,1333.359645,9,7906.674444444444,3.5,30,Fear
2024-08-29,0.0,1,9995.85,0.0,29,Fear
2024-08-30,256.464,6,6205.54,1.0,34,Fear
2024-08-31,10.882801,34,3161.983235294118,0.36,29,Fear
2024-09-01,137.433093,12,1029.9733333333334,0.5,26,Fear
2024-09-02,0.0,2,15000.21,2.0,26,Fear
2024-09-04,1065.785132,34,3867.0873529411765,5.8,27,Fear
2024-09-05,0.0,1,0.84,0.0,29,Fear
2024-09-06,-1104.856765,42,929.6928571428571,0.10526315789473684,22,Extreme Fear
2024-09-08,0.0,1,0.11,0.0,29,Fear
2024-09-09,0.0,2,2007.2150000000001,2.0,26,Fear
2024-09-10,-219.729659,3,849.0933333333334,3.0,33,Fear
2024-09-11,0.0,1,0.54,0.0,37,Fear
2024-09-14,0.0,11,92.25454545454546,10.0,50,Neutral
2024-09-18,-878.684794,145,94.02413793103449,0.08208955223880597,45,Neutral
2024-09-19,0.0,19,80.09842105263158,19.0,49,Neutral
2024-09-20,9585.03428,16,20804.58625,3.0,54,Neutral
2024-09-21,36165.56933,23,7202.092173913044,23.0,54,Neutral
2024-09-22,0.0,3,6666.579999999999,3.0,52,Neutral
2024-09-23,334.760796,2,20167.145,2.0,50,Neutral
2024-09-24,0.0,10,711.863,9.0,54,Neutral
2024-09-25,0.0,9,5861.570000000001,2.0,59,Greed
2024-09-26,439.812513,8,14213.991250000001,0.3333333333333333,50,Neutral
2024-09-27,0.0,56,2251.732857142857,0.0,61,Greed
2024-09-28,0.0,4,7299.8025,0.0,64,Greed
2024-09-30,2710.626288,106,2025.1872641509435,0.04950495049504951,61,Greed
2024-10-01,0.0,4,34988.58,4.0,50,Neutral
2024-10-02,0.0,4,24988.585,4.0,42,Fear
2024-10-03,100.375782,9,14770.632222222222,9.0,37,Fear
2024-10-04,0.0,1,0.34,0.0,41,Fear
2024-10-05,5767.161892,37,16367.722702702702,5.166666666666667,49,Neutral
2024-10-06,130.487079,22,13642.298181818182,1.0,50,Neutral
2024-10-07,0.0,21,10475.459523809524,0.0,50,Neutral
2024-10-08,5396.546638,36,12071.781388888889,0.02857142857142857,49,Neutral
2024-10-09,396.06272,14,15742.852142857142,14.0,49,Neutral
2024-10-10,0.0,16,18751.521249999998,16.0,39,Fear
2024-10-11,8885.327477,26,18804.007307692307,2.25,32,Fear
2024-10-12,541.55471,10,15971.34,0.25,49,Neutral
2024-10-13,0.0,10,6000.242,10.0,50,Neutral
2024-10-14,1913.61958,5,12383.204000000002,5.0,48,Neutral
2024-10-15,1170.2260760000001,7,11596.194285714286,7.0,65,Greed
2024-10-16,219.480876,11,7293.560909090909,11.0,73,Greed
2024-10-17,36.11496,9,15614.638888888889,9.0,71,Greed
2024-10-18,333.219141,6,20055.238333333335,6.0,73,Greed
2024-10-19,0.0,4,24999.215,4.0,72,Greed
2024-10-20,389.155797,96,1837.9985416666668,0.06666666666666667,73,Greed
2024-10-21,2464.915564,173,1873.5143930635838,0.06790123456790123,72,Greed
2024-10-22,0.0,3,20000.12,3.0,70,Greed
2024-10-23,-46.489941,18,11667.003888888888,18.0,71,Greed
2024-10-25,13235.862071,30,14262.772666666666,5.0,72,Greed
2024-10-27,666.6623079999999,4,22666.1025,3.0,74,Greed
2024-10-28,167.28016200000002,13,9345.788461538461,0.08333333333333333,72,Greed
2024-10-29,801.170876,53,11571.09075471698,0.0,72,Greed
2024-10-30,9.150023,25,473.23400000000004,0.0,77,Extreme Greed
2024-10-31,1214.043811,48,18670.278333333332,0.2972972972972973,77,Extreme Greed
2024-11-01,1040.475736,23,11347.001304347827,23.0,75,Extreme Greed
2024-11-02,0.0,2,20000.0,2.0,72,Greed
2024-11-03,0.0,6,21509.27666666667,6.0,74,Greed
2024-11-04,2799.410474,36,12550.332499999999,36.0,70,Greed
2024-11-05,678.4759280000001,10,20062.723,10.0,70,Greed
2024-11-06,2817.83723,15,8260.46,15.0,70,Greed
2024-11-07,4493.353136,113,985.2681415929204,1.3541666666666667,77,Extreme Greed
2024-11-08,-64.41354100000007,39,6941.036923076923,39.0,75,Extreme Greed
2024-11-09,102.90894,86,2248.655930232558,0.11688311688311688,75,Extreme Greed
2024-11-10,991.114334,173,2390.963583815029,0.054878048780487805,78,Extreme Greed
2024-11-11,6749.630996,373,4210.649919571046,0.06876790830945559,76,Extreme Greed
2024-11-12,3494.399394,171,7171.663859649123,0.8791208791208791,80,Extreme Greed
2024-11-13,7846.402274,48,10736.174375,11.0,84,Extreme Greed
2024-11-14,4563.509225,110,9166.925545454545,110.0,88,Extreme Greed
2024-11-15,4140.740438,149,9582.942416107382,3.515151515151515,80,Extreme Greed
2024-11-16,2769.521909,157,1931.822101910828,1.0657894736842106,86,Extreme Greed
2024-11-17,882.975285,209,5818.122344497608,0.46153846153846156,90,Extreme Greed
2024-11-18,4470.815187,346,6024.102832369942,0.8602150537634409,83,Extreme Greed
2024-11-19,2958.268991,305,2059.118524590164,1.0469798657718121,90,Extreme Greed
2024-11-20,4210.0928969999995,550,3635.480218181818,3.700854700854701,83,Extreme Greed
2024-11-21,1692.430891,535,1118.3189158878504,2.8214285714285716,82,Extreme Greed
2024-11-22,-18105.345617,679,2425.2041531664213,1.705179282868526,94,Extreme Greed
2024-11-23,2901.531638,363,1422.1644077134986,0.5316455696202531,93,Extreme Greed
2024-11-24,945.550386,172,3866.001627906977,0.6862745098039216,80,Extreme Greed
2024-11-25,5523.740734,255,3676.1210588235294,1.0731707317073171,82,Extreme Greed
2024-11-26,1094.809359,302,3797.6901986754965,2.871794871794872,79,Extreme Greed
2024-11-27,-2654.495633,213,6780.481361502348,2.0,75,Extreme Greed
2024-11-28,-127075.39958499999,332,5705.497439759036,0.9415204678362573,77,Extreme Greed
2024-11-29,176844.994152,393,2021.0252162849874,0.6723404255319149,78,Extreme Greed
2024-11-30,37316.69352,373,4643.950938337802,0.2687074829931973,84,Extreme Greed
2024-12-01,40886.364494,416,1958.441875,0.3248407643312102,81,Extreme Greed
2024-12-02,18489.604313,270,2167.568740740741,1.3893805309734513,80,Extreme Greed
2024-12-03,23576.539285,374,2900.177887700535,1.4605263157894737,76,Extreme Greed
2024-12-04,292891.815021,319,2411.5600313479626,0.36909871244635195,78,Extreme Greed
2024-12-05,71574.11848800001,456,2756.0324342105264,0.2808988764044944,84,Extreme Greed
2024-12-06,-92624.643895,403,8612.950918114144,0.48161764705882354,72,Greed
2024-12-07,85906.279067,304,1485.965197368421,0.07420494699646643,75,Extreme Greed
2024-12-08,15965.933436,420,2221.2850476190474,0.07969151670951156,79,Extreme Greed
2024-12-09,6310.967676,539,1825.5096103896105,1.40625,78,Extreme Greed
2024-12-10,39325.770231,1596,1973.94992481203,0.40492957746478875,78,Extreme Greed
2024-12-11,319051.554217,1221,1796.9683292383293,0.13055555555555556,74,Greed
2024-12-12,599151.795008,1932,2358.7939285714288,0.23135755258126195,83,Extreme Greed
2024-12-13,31935.901745,1173,2455.9459846547315,2.45,76,Extreme Greed
2024-12-14,167801.399244,1235,1918.6735060728743,2.1505102040816326,83,Extreme Greed
2024-12-15,97525.315279,1697,1522.256812021214,4.065671641791044,80,Extreme Greed
